,unit_id,unit_state,trusted_judgments,last_judgment,predicted_category,confidence,tweet
0,191082793,golden,31,2012-08-12 14:07:00.000Z,"People missing, found or seen",0.892,Update - Has Dementia! pls find him #Missing #Joplin Charles Writer  patient at #Greenbrier ...
1,191082813,golden,33,2012-08-12 14:11:00.000Z,"People missing, found or seen",0.7137,  #Joplin #Missing Margaret Jorgensen y/o at #MercyVilliage suffers from Multiple Sclerosis contact  ...
2,191082814,finalized,3,2012-08-12 13:19:00.000Z,"People missing, found or seen",1.0,Please help find Will Norton!! Please email all leads to findwillnorton or call    #Joplin
3,191082836,finalized,3,2012-08-12 13:28:00.000Z,"People missing, found or seen",0.3428,"#tornado. Oh dear, just found out Jim Canatore is in town- that can't be good #HAARP"
4,191082849,golden,3,2012-08-12 13:20:00.000Z,"People missing, found or seen",0.7015,"  ""You see, there are heroes all around us,"" President Barack Obama, at Joplin Tornado Memorial."
5,191082880,finalized,3,2012-08-12 13:24:00.000Z,"People missing, found or seen",0.6934,Please pray for a family in Joplin who is looking for their  month old son. Went missing during tornado 
6,191082973,golden,3,2012-08-12 13:29:00.000Z,"People missing, found or seen",0.6882,"Joplin #tornado MISSING PERSON: Hannah Hull,  years old, Brown wavy hair.information please call Robin at --"
7,191082974,golden,2,2012-08-12 13:05:00.000Z,"People missing, found or seen",1.0,"  In Joplin, Missouri, today to visit with those who lost so much in last week's devastating tornado."
8,191082985,finalized,3,2012-08-12 14:12:00.000Z,"People missing, found or seen",1.0,  LOOKATGOD!   Ninety of the people unaccounted for after the Joplin tornado have been located and are alive  ...
9,191083039,finalized,3,2012-08-12 13:09:00.000Z,"People missing, found or seen",0.4123,"Residents need repairs after #Tornado, can't reach landlord: "
10,191083052,finalized,3,2012-08-12 13:29:00.000Z,"People missing, found or seen",0.6229,"  President #Obama will speak at a memorial for those lost in the #tornado in #Joplin, MO. Live: "
11,191083066,finalized,3,2012-08-12 13:36:00.000Z,"People missing, found or seen",0.6882,NEW ON CNN: Obama visits tornado-ravaged Joplin; renamed hospital reopens:  - President Barack Obama visite... 
12,191083074,finalized,3,2012-08-12 13:26:00.000Z,"People missing, found or seen",0.3501,"We often see the glimpse of what makes life worth living in the first place, Obama tells #Joplin."
13,191083077,finalized,3,2012-08-12 13:15:00.000Z,"People missing, found or seen",1.0,"   #Joplin #Missing Dorothy Clark,  "
14,191083079,finalized,3,2012-08-12 13:13:00.000Z,"People missing, found or seen",1.0,  Ninety of the people unaccounted for after the Joplin tornado have been located and are alive ;&lt; grand dad?
15,191083113,finalized,3,2012-08-12 13:14:00.000Z,"People missing, found or seen",0.6853,"  In Joplin, Missouri, today to visit with those who lost so much in last week's devastating tornado."
16,191083120,golden,2,2012-08-12 13:16:00.000Z,"People missing, found or seen",1.0,"Obama tours tornado-hit Joplin, promises sustained federal help to recover "
17,191083128,finalized,4,2012-08-12 13:38:00.000Z,"People missing, found or seen",1.0,"  If you know the whereabouts of Emma Marie Hayes, contact -- #Joplin #AC"
18,191083141,finalized,3,2012-08-12 13:25:00.000Z,"People missing, found or seen",0.6636,"U.S. tornado death toll mounts, many still missing - Reuters "
19,191083156,finalized,3,2012-08-12 13:36:00.000Z,"People missing, found or seen",0.3639,  No unidentified #Joplin children or teens  For updates on Joplin go to: www.facebook.com/joplinmo. P ...
20,191083184,finalized,3,2012-08-12 13:35:00.000Z,"People missing, found or seen",0.3717,  The  tour of the #JoplinTornado continues as he visits St. John's Regional Medical Center. #NASCAR ht ...
21,191083203,finalized,3,2012-08-12 13:22:00.000Z,"People missing, found or seen",1.0,  #Hotline established  loved ones seeking #info on missing persons in #Joplin Missouri: tel #. -. #PrayF ...
22,191083217,finalized,3,2012-08-12 13:23:00.000Z,"People missing, found or seen",0.6653,Ì¢âÂÒ #BREAKING #Joplin President Obama to visit tornado region Sunday 
23,191083254,finalized,3,2012-08-12 13:37:00.000Z,"People missing, found or seen",0.6201,    Two children found alive in Joplin!!!  A -yr-old and -yr-old found in their house!!! #Joplin
24,191083334,finalized,3,2012-08-12 13:21:00.000Z,"People missing, found or seen",0.6737,"  Obama Consoles Tornado-Ravaged Joplin: JOPLIN, Mo. -- Exactly a week after Joplin was nearly leveled by the dead... ..."
25,191083347,finalized,3,2012-08-12 13:25:00.000Z,"People missing, found or seen",1.0,Missouri town says  missing after tornado: Officials Thursday said  people were still missing four days af... 
26,191083385,finalized,3,2012-08-12 13:27:00.000Z,"People missing, found or seen",0.6525,"Missing Child A Victim Of Historic Tornado Season: Teams of rescuers were out Wednesday in Canadian County,... "
27,191083510,finalized,3,2012-08-12 13:27:00.000Z,"People missing, found or seen",1.0,"Week after tornado,  people missing "
28,191083566,finalized,3,2012-08-12 13:25:00.000Z,"People missing, found or seen",0.6551,"Missing List in Joplin Tornado Drops to : Ninety of the people unaccounted for after the Joplin, Mo., tornado... "
29,191083610,finalized,3,2012-08-12 13:10:00.000Z,"People missing, found or seen",0.6484,"  My thoughts/prayers w/tornado victims. In my hometown OKC, a -year-old boy still missing. Help find him:  ..."
30,191083643,finalized,3,2012-08-12 13:29:00.000Z,"People missing, found or seen",0.6566,"  , people are still unaccounted for in #Joplin, Missouri | "
31,191083676,finalized,3,2012-08-12 13:21:00.000Z,"People missing, found or seen",1.0, Please read and retweet my iReport on CNN.com for missing baby Skyular #Joplintornado #CNN #Joplin 
32,191083680,finalized,3,2012-08-12 13:22:00.000Z,"People missing, found or seen",0.6796,Missouri to name tornado missing: The US state of Missouri is to release a list of people unaccounted for since ... 
33,191083684,finalized,3,2012-08-12 14:03:00.000Z,"People missing, found or seen",1.0,  OMG PLEASE !   #Urgent:  month old baby girl @ #Cox South Hospital from #Joplin storms. no one know who s ...
34,191083742,finalized,3,2012-08-12 13:26:00.000Z,"People missing, found or seen",1.0,PinoyPortal US: Hundreds still missing in tornado-hit Missouri city 
35,191083749,finalized,3,2012-08-12 13:29:00.000Z,"People missing, found or seen",1.0, Please read and retweet my iReport on CNN.com for missing baby Skyular #Joplintornado #CNN #Joplin 
36,191083789,finalized,3,2012-08-12 13:36:00.000Z,"People missing, found or seen",0.648,Wow indeed.   Wow --  people still unaccounted for in #Joplin.
37,191083807,finalized,3,2012-08-12 13:18:00.000Z,"People missing, found or seen",0.3429,#Joplin NORMLÌ¢âÂã¢s Kelly Maddy loses #Missouri home to #tornado; please help!: Kelly's house wasÌ¢âÂå_ 
38,191083818,finalized,3,2012-08-12 14:13:00.000Z,"People missing, found or seen",0.6281, You can report yourself Safe and Well or search for loved ones at  #joplin #mowx #tornado
39,191083851,finalized,3,2012-08-12 13:26:00.000Z,"People missing, found or seen",0.687,  President Obama in #joplin Sun... #Potus with the people... 
40,191083854,finalized,3,2012-08-12 14:05:00.000Z,"People missing, found or seen",1.0,  State official:  people still missing;  have been located. #JoplinTornado
41,191083869,finalized,3,2012-08-12 13:35:00.000Z,"People missing, found or seen",0.6411,"  About  people unaccounted for in #joplin. many of those may be alive, just can't reach loved ones. #ac p"
42,191083913,finalized,3,2012-08-12 13:24:00.000Z,"People missing, found or seen",1.0,"#joplin #missouri #tornado MISSING PERSON: Natasha Edwards,  months pregnant, Please call Janie -- #prayforjoplin"
43,191083921,finalized,3,2012-08-12 13:36:00.000Z,"People missing, found or seen",0.3435,:( Thinking about my 'Bama folks...Stay safe yall! --Tornado Survivor Reunited With Cat During TV Interview  
44,191083939,finalized,3,2012-08-12 13:26:00.000Z,"People missing, found or seen",0.6478,"  , AMERICANS still missing as Tornado's continue to rip through our Heartland. Obama: I'll get back to it on Sunda ..."
45,191083958,finalized,3,2012-08-12 13:50:00.000Z,"People missing, found or seen",0.3676,  Dallas Love Field: all passengers and staff are in the basement of the terminal.  #txwx (via 
46,191783056,finalized,3,2012-08-19 18:01:00.000Z,Caution and advice,1.0,"Yesterday was supposed to be  and sunny/cold and rain. Today was supposed to be  and sunny, guess what? Tornado warning #FUCKTOLEDOOHIO"
47,191783057,finalized,3,2012-08-16 16:46:00.000Z,Caution and advice,0.657,  News was goin crazy about tornado  warnings n it didn even rain ! -__- - shit was wild over in CT .  ppl died
48,191783058,finalized,3,2012-08-19 16:45:00.000Z,Caution and advice,1.0,  Everybody on the campus of the University of Oklahoma should be in a tornado safe place now. #okwx
49,191783059,finalized,3,2012-08-17 01:16:00.000Z,Caution and advice,1.0,Almyra Arkansas tornado about to hit the ground
50,191783060,finalized,4,2012-08-18 19:57:00.000Z,Caution and advice,0.7462,I hear the tornado sires going off now.  Buildings in downtown Kansas City being evacuated now! Tornado Warning.
51,191783061,finalized,4,2012-08-17 15:24:00.000Z,Caution and advice,1.0,"Tornado watch canceled for Douglas County, Coles County, & Moultrie County"
52,191783062,finalized,4,2012-08-19 18:21:00.000Z,Caution and advice,0.5001,In the U.S. they have tornado watch.. In Saint John we have severe thunderstorm watch.. #Seriously? What's the point of thunderstorm watch?
53,191783063,golden,1,2012-08-14 14:58:00.000Z,Caution and advice,1.0,At mssu for memorial service. #Joplin #superwindy
54,191783064,finalized,4,2012-08-19 07:57:00.000Z,Caution and advice,0.5027,Thank god possible tornado moved away from this area. Praying this tornado doesn't really cause destruction!
55,191783065,finalized,4,2012-08-19 18:21:00.000Z,Caution and advice,0.523,Tornado headed toward us.... we're closing down for a while ...
56,191783066,finalized,3,2012-08-16 21:34:00.000Z,Caution and advice,1.0,It's A Tornado Out Here Lol Trees Falling Down And Shxt!!! I Gotta Get Out The Country...This Typa Shxt Don't Happen In New York Lol
57,191783067,finalized,3,2012-08-19 15:52:00.000Z,Caution and advice,0.6508,"Tornado watch and already thunder, lightening and a splitting headache. What fun lies ahead ? #tornado"
58,191783068,golden,3,2012-08-19 08:37:00.000Z,Caution and advice,0.645,"  Tornado on the ground less than  miles away, guys. On the ground in Bedford. SEEK SHELTER IMMEDIATELY."
59,191783069,golden,3,2012-08-18 19:47:00.000Z,Caution and advice,0.6807,Wow. Tornado reported over in Bellingham and Milford  thankfully it didn't touchdown.
60,191783070,finalized,3,2012-08-18 21:20:00.000Z,Caution and advice,1.0,  #Joplin #Missouri #tornado has been cancelled. More severe weather expected in the area tonight. Potentially severe. St ...
61,191783071,golden,4,2012-08-19 08:47:00.000Z,Caution and advice,1.0,"Possible #tornado on the ground near Ohio City, #Ohio. Cell has very strong low level rotation! ** SEEK SHELTER ** #OHWX Follow  updates."
62,191783072,finalized,3,2012-08-18 21:31:00.000Z,Caution and advice,1.0,Tornado warning. #FML
63,191783073,finalized,5,2012-08-19 07:44:00.000Z,Caution and advice,0.5479999999999999," Girl, you are tornado watching too much! If you need to, get to safety, OK!!"
64,191783074,finalized,3,2012-08-19 17:44:00.000Z,Caution and advice,1.0,bitch it's a tornado.. ain't shit to be scared of! you betta get your bitch ass in the position they taught you in elementary!
65,191783075,finalized,3,2012-08-19 10:04:00.000Z,Caution and advice,0.3439,"Tornado forming over river, awesome.  "
66,191783076,finalized,3,2012-08-19 15:52:00.000Z,Caution and advice,1.0,I'm pretty sure that's the tornado siren.
67,191783077,golden,4,2012-08-19 08:53:00.000Z,Caution and advice,0.7491,"  Confirmed tornado on the ground in Dallas near Love Field. ""Softball-sized hail."" via "
68,191783078,finalized,3,2012-08-17 22:38:00.000Z,Caution and advice,1.0,That Tornado Warning Shit just came on my Tv..
69,191783079,golden,16,2012-08-18 05:56:00.000Z,Caution and advice,0.7108, Man I swear #MotherNature has been pissed of in . We got tornado warnings all over the Mtown&lt;&lt;she needs to get laid. haha
70,191783080,golden,65,2012-08-19 16:30:00.000Z,Caution and advice,1.0,Murfreesboro PD confirming a tornado touchdown in Rutherford county. The storm is really cranking up here in the Lascassas Pike area....
71,191783081,finalized,4,2012-08-19 18:21:00.000Z,Caution and advice,0.5377,"Tornado alarms blasting in the city, and all I'm thinking is Yippeee! I still have internet connection"
72,191783082,golden,59,2012-08-19 17:52:00.000Z,Caution and advice,0.8502,"Take cover Dallas!   DAMAGE IN DALLAS COUNTY NEAR EAGLE FORD, TX REPOS OF LARGE #TORNADO ON GROUND #txwx"
73,191783083,golden,56,2012-08-19 16:30:00.000Z,Caution and advice,0.9531,Tornado on ground in Southern Dallas County.
74,191783084,golden,13,2012-08-17 01:16:00.000Z,Caution and advice,0.5284,Emergency crews flying down highway toward Springfield at an alarming rate. Wish I stayed for the second #tornado.
75,191783085,golden,11,2012-08-17 01:25:00.000Z,Caution and advice,1.0,Lol so there is a tornado warning outside n im at work -_-
76,191783086,finalized,4,2012-08-16 16:52:00.000Z,Caution and advice,0.7789,Tornado heading up Nall into Leawood. This is far too close for comfort. YIKES! I'm seriously scared! #kcstorms #tornado #FB #praying
77,191783087,finalized,4,2012-08-19 18:21:00.000Z,Caution and advice,0.5234,It was a tornado in GB but it's gone now    wht tornado
78,191783088,golden,4,2012-08-18 20:01:00.000Z,Caution and advice,0.758,"Tornado watch upgraded to warning in ctrl Oxfd Cty. Wther svc: ""Severe thunderstorm capable of producing a tornado  miles west of Bethel"""
79,191783089,golden,20,2012-08-19 18:08:00.000Z,Caution and advice,0.951,Is that the ice cream truck? No wait shit thats a tornado warning siren
80,191783090,finalized,3,2012-08-18 15:50:00.000Z,Caution and advice,1.0,There's a tornado warning around my area. :$
81,191783091,finalized,3,2012-08-18 21:35:00.000Z,Caution and advice,1.0,"  Jeez, Kansas City. You didn't have to organize such a dramatic welcome. #tornado Warning is lifted. We're going to have lun ..."
82,191783092,golden,1,2012-08-18 20:08:00.000Z,Caution and advice,1.0,Tornado warning?
83,191783093,golden,2,2012-08-14 17:27:00.000Z,Caution and advice,0.5752,"If ing #tornado warnings, note the time of the original tweet or information. Don't tweet old information--not helpful."
84,191783094,finalized,3,2012-08-16 05:51:00.000Z,Caution and advice,1.0, wow!! i was just in a tornado warning but it wasn't that bad! i hope it blows over fast!
85,191783095,finalized,3,2012-08-17 01:22:00.000Z,Caution and advice,0.7083, yes they are it looks like a tornado is coming
86,191783096,finalized,3,2012-08-18 11:40:00.000Z,Caution and advice,1.0,am i the only one who's been in a soccer game when the tornado sirens go off?? OUTTA TOWN!...n a tornado actually hit it was SCARY!
87,191783097,finalized,3,2012-08-17 01:31:00.000Z,Caution and advice,0.6818,"Damn tornado warning don't mean shit  me. Motherfucka, I have survived Katrina's bitch ass,  tornados & a blizzard. Just another day  me"
88,191783098,finalized,3,2012-08-16 17:53:00.000Z,Caution and advice,1.0,Tornado warning..ok im goin to take my bike nd go get something to eat
89,191783099,golden,1,2012-08-18 20:15:00.000Z,Caution and advice,1.0,Just drove right under a tornado forming.....holy shit....are we home yet???????
90,191783100,finalized,3,2012-08-17 22:23:00.000Z,Caution and advice,0.6488," Yep same for us, our tornado chances went down, still sitting here ready to drive to safety though."
91,191783101,finalized,4,2012-08-18 21:33:00.000Z,Caution and advice,0.5095,"Looks like another tornado. Yep, got all my books in the basement."
92,191783102,golden,59,2012-08-19 17:13:00.000Z,Caution and advice,0.9627,tornado warning issed for st. joseph county. sky is almost black.
93,191783103,finalized,3,2012-08-15 02:15:00.000Z,Caution and advice,1.0, ... and now we're under a tornado watch for the same storm system that hit OK.
94,191783104,golden,7,2012-08-19 08:16:00.000Z,Caution and advice,0.2988,"    #Debris falling on #I  #Tornado has lifted, a mile & / west of Casino/seems headed toward Tulsa, h ..."
95,191783105,finalized,4,2012-08-16 02:57:00.000Z,Caution and advice,0.7343,Wow this tornado was WAY closer than Joplin :(
96,191783106,finalized,6,2012-08-17 12:39:00.000Z,Caution and advice,1.0,tornado warning and the mall on lockdown. oh shit. meridian goin nuts.
97,191783107,finalized,3,2012-08-18 18:07:00.000Z,Caution and advice,1.0,"  Sirens started going off. Tornado has officially touched down in my hometown, super worried about my family right. #p ..."
98,191783108,finalized,3,2012-08-17 23:30:00.000Z,Caution and advice,0.6791,TAKE COVER!!! #TORNADO!!
99,191783109,golden,15,2012-08-19 07:50:00.000Z,Caution and advice,0.9315,Please be praying for everybody here in Joplin! Tornado sirens once again. :(
100,191783110,golden,21,2012-08-19 18:21:00.000Z,Caution and advice,0.7171,Tornado headed right for the sprint headquarters...dad if you see this I'm in Hannah's basement! #scared
101,191783111,finalized,4,2012-08-16 09:05:00.000Z,Caution and advice,0.5203,Major tornado outbreak overnight. People need help and I'm feeling helpless.
102,191783112,finalized,4,2012-08-18 16:02:00.000Z,Caution and advice,1.0,there is tornado warnings so we might have to go to the celler
103,191783113,finalized,3,2012-08-19 07:39:00.000Z,Caution and advice,0.7367,"Were under a tornado warning, and the sirens are going off like crazy ... I did sign up for this."
104,191783114,finalized,3,2012-08-18 18:00:00.000Z,Caution and advice,0.6809,Winds are gusting tonight.  I'm in an area that DOES NOT get tornado's but we now have a tornado watch !!!  crazy......
105,191783115,finalized,4,2012-08-19 08:11:00.000Z,Caution and advice,0.738,"  cass, johnson, jackson, layfatte county under tornado warnings rt now"
106,191783116,finalized,3,2012-08-18 09:59:00.000Z,Caution and advice,0.6482,The weather be scaring people the only thing we gonna get is alot of rain... No tornado.
107,191783117,finalized,3,2012-08-18 16:02:00.000Z,Caution and advice,1.0,"    Developing: NWS meteorologists were tracking a tornado on the ground near Ramona, SD, moving NE at ..."
108,191783118,finalized,4,2012-08-16 18:12:00.000Z,Caution and advice,1.0,Taking cover. Sirens going off. #tornado heading north along hwy  :/
109,191783119,finalized,4,2012-08-19 08:37:00.000Z,Caution and advice,0.7445,"Holy hell...a tornado warning for east of Grand Rapids, MI!!!"
110,191783120,finalized,4,2012-08-17 01:36:00.000Z,Caution and advice,0.732,"Just remember, if you are outside in a tornado, you are screwed.  Indoors, think about bathtub/mattress combo."
111,191783121,finalized,4,2012-08-18 21:29:00.000Z,Caution and advice,0.7575,"#tornado watch; needless to say, im freaking out. and the most important part of my survival kit is missing &lt;/"
112,191783122,finalized,3,2012-08-18 21:15:00.000Z,Caution and advice,0.6358, I checked & sirens prob shouldn't have gone off in Crete b/c it was not in the tornado warning. better safe than sorry  ty!
113,191783123,golden,64,2012-08-19 16:30:00.000Z,Caution and advice,0.4538,Everybody go in y'all basements tornado coming lol..
114,191783124,golden,60,2012-08-19 16:39:00.000Z,Caution and advice,0.8664,    Tornado sirens going off now in Cumberland #inwx  I Just Tweeted that!
115,191783125,golden,12,2012-08-15 02:18:00.000Z,Caution and advice,0.9159999999999999,the air smells of Tornado
116,191783126,golden,65,2012-08-19 17:39:00.000Z,Caution and advice,0.7619,Tornado Watch now for entire metro area.  Just issued.
117,191783127,golden,15,2012-08-15 02:24:00.000Z,Caution and advice,0.8739,"Tornado sirens blaring in Brookside, but hail ended for now."
118,191783128,golden,68,2012-08-19 16:30:00.000Z,Caution and advice,0.9549,Raining tornado warning hope everyone is ok
119,191783129,golden,60,2012-08-19 16:45:00.000Z,Caution and advice,0.8818,I just heard the tornado sirens and at first was like 'Dammit!!!' then remembered it's the first Wed of the month.
120,191783130,golden,15,2012-08-15 02:28:00.000Z,Caution and advice,0.7913,That was some apocalyptic weather that just hit.  I thought that was an impromptu tornado
121,191783131,golden,55,2012-08-19 16:30:00.000Z,Caution and advice,0.9178,"  JEFFERSON, GALLATIN, POPE, SALINE, WILLIAMSON, JACKSON, PERRY IL ALL UNDER TORNADO WARNINGS. NOW IS THE TIME TO SEEK SHELTER."
122,191783132,golden,56,2012-08-19 16:49:00.000Z,Caution and advice,0.5828,  Apparently we have no exclusivity.  The tornado watch is for all SE NY.  
123,191783133,golden,55,2012-08-19 17:44:00.000Z,Caution and advice,0.5182,"The #PDS #Tornado watch for parts of KY runs until pm CDT. Includes Bowling Green, Louisville, Paducah, Ft. Campbell, Franklin. #KYwx"
124,191783134,golden,13,2012-08-15 05:49:00.000Z,Caution and advice,0.7657,"praying for all the people who are under the tornado warnings right now! please be safe:) and keep your head held up high, you'll make it ."
125,191783135,golden,18,2012-08-15 02:32:00.000Z,Caution and advice,0.4576,Tornado hunters are on their way   Severe storms hit #hamont area - may have spawned a tornado 
126,191783136,golden,17,2012-08-18 05:44:00.000Z,Caution and advice,1.0,"Tornado Warning until : p.m. for DeSoto, Marshall and Tate counties in Mississippi."
127,191783137,golden,70,2012-08-19 18:01:00.000Z,Caution and advice,0.9198,.     - leave sap at Flying J alone and come join #WBC #joplin picket :)
128,191783138,golden,59,2012-08-19 17:30:00.000Z,Caution and advice,0.5443,"  I think we're clear of the tornado now, which means I can get on the *electric* bus now. #notthesafestplaceinastorm"
129,191783139,finalized,6,2012-08-17 01:25:00.000Z,Caution and advice,0.6898,Tornado Watch ÌÎå¢Û¡Ì¢ÌâÛ¡ÌÝÌ Expiration 
130,191783140,finalized,4,2012-08-18 18:00:00.000Z,Caution and advice,0.7758,Tornado Warning for Butler and Preble Counties until : PM.
131,191783141,finalized,4,2012-08-16 17:50:00.000Z,Caution and advice,0.5385,  TORNADO WARNING issued for parts of DAVIESS county in KY until : PM CT -  #tristatewx
132,191783142,finalized,5,2012-08-18 21:27:00.000Z,Caution and advice,0.8012,"  #Tornado reported in the Kansas City metro!  TAKE COVER in Overland Park, Leawood, Lenexa!  Alert:  "
133,191783143,finalized,3,2012-08-18 21:42:00.000Z,Caution and advice,0.6381,  PDS  #Tornado Watch for much of NW/N TX and OK. #txwx #okwx #severe
134,191783144,finalized,4,2012-08-19 08:37:00.000Z,Caution and advice,0.5687,  Thursday system would likely be a significant tornado outbreak in Canadian Prairies if a month later with moisture.   ...
135,191783145,finalized,4,2012-08-17 01:48:00.000Z,Caution and advice,1.0," New tornado warning for storm in Springfield/Chicopee. Heading east at mph. Warning into SW Worcester County again, ti.	Thu Jun  :: AST 	&lt;a href="" rel=""nofollow""&gt;Twitter for Android&lt;/a&gt;"
136,191783146,finalized,3,2012-08-19 17:52:00.000Z,Caution and advice,0.4215,    BREAKING #NOAA has upgraded Joplin #tornado from EF- to EF-; winds greater than  mph
137,191783147,finalized,3,2012-08-19 18:01:00.000Z,Caution and advice,0.6467,"  Another tornado in OK; this one a half-mile wide. More coming. Text ""REDCROSS"" to  to ... "
138,191783148,finalized,3,2012-08-18 21:41:00.000Z,Caution and advice,1.0,A tornado warning for Oakland County. #backchannel
139,191783149,finalized,3,2012-08-18 19:57:00.000Z,Caution and advice,0.6890000000000001,A SEVERE THUNDERSTORM WARNING HAS BEEN ISSUED FOR BEAVER COUNTY IN THE OKLAHOMA PANHANDLE UNTIL : PM SATURDAY. #okwx #fb
140,191783150,finalized,4,2012-08-17 11:06:00.000Z,Caution and advice,1.0,  Jonesboro Westside Middle school tornado shelter will be open to the public. #ARWX 
